Gene,GSM494565,GSM494594,GSM494604,GSM494564,GSM494591,GSM494567,GSM494602,GSM494613,GSM494589,GSM494598,GSM494593,GSM494583,GSM494612,GSM494558,GSM494556,GSM494559,GSM494571,GSM494614,GSM494603,GSM494568,GSM494572,GSM494600,GSM494562,GSM494615,GSM494582,GSM494599,GSM494610,GSM494587,GSM494581,GSM494580,GSM494563,GSM494576,GSM494605,GSM494584,GSM494586,GSM494578,GSM494585,GSM494611,GSM494560,GSM494595,GSM494570,GSM494597,GSM494607,GSM494561,GSM494569,GSM494592,GSM494577,GSM494588,GSM494590,GSM494609,GSM494608,GSM494606,GSM494574,GSM494573,GSM494566,GSM494601,GSM494557,GSM494579,GSM494596,GSM494575,GSM494625,GSM494654,GSM494664,GSM494624,GSM494651,GSM494662,GSM494627,GSM494673,GSM494649,GSM494658,GSM494653,GSM494643,GSM494672,GSM494618,GSM494631,GSM494619,GSM494674,GSM494616,GSM494663,GSM494628,GSM494632,GSM494660,GSM494622,GSM494642,GSM494647,GSM494659,GSM494670,GSM494675,GSM494641,GSM494636,GSM494640,GSM494623,GSM494644,GSM494646,GSM494665,GSM494638,GSM494645,GSM494671,GSM494655,GSM494620,GSM494630,GSM494657,GSM494667,GSM494621,GSM494629,GSM494637,GSM494652,GSM494648,GSM494650,GSM494669,GSM494666,GSM494668,GSM494633,GSM494634,GSM494639,GSM494661,GSM494617,GSM494626,GSM494656,GSM494635
EXOSC6,8.66398,8.55512,8.74759,9.01585,8.55406,8.83772,8.14774,9.59494,9.74809,7.98376,8.81683,8.04359,8.39314,9.48396,8.15748,9.07211,8.2715,8.36643,8.59581,8.86177,9.27701,9.40674,7.96726,8.7971,8.49653,8.69891,7.98461,8.26543,8.3384,8.78526,9.35481,8.41123,8.17497,8.36497,8.83471,8.8154,9.36456,8.40395,8.89475,8.46745,9.26327,8.19935,7.85043,9.6775,9.01925,8.35222,8.72339,8.65848,7.83774,8.34112,9.20403,8.07285,8.22445,8.77801,8.42956,8.11837,9.86034,8.808,7.30056,8.08155,8.8912,9.23106,9.05486,9.26568,8.48722,8.43815,8.9232,8.32592,9.66357,8.44721,9.06111,8.67424,8.48241,9.31657,8.77076,8.91774,8.66562,8.27748,9.44454,9.09173,9.27488,9.32021,9.07083,9.25117,8.6707,9.24597,9.02224,8.73314,8.12987,8.76173,9.34873,8.97688,8.4025,9.10208,8.1021,8.64975,8.7605,8.11092,8.93653,9.16112,9.44028,7.95845,8.51266,9.89164,9.44509,9.58782,8.77233,8.87527,7.95862,8.71792,8.49284,8.66121,9.34314,8.46311,9.25117,8.34005,9.27931,8.70286,8.15523,8.96114
EXOSC7,8.54043,10.8625,10.5748,8.97319,7.86807,10.4933,8.42417,8.72414,8.65484,8.03186,9.09766,8.51461,9.34088,10.7594,9.69267,9.0905,10.7992,8.4088,10.7877,10.8967,8.8108,7.6924,8.32877,9.90916,7.33078,9.5717,8.06658,8.29194,10.1001,10.2855,7.81907,7.96141,12.2382,10.6974,7.99813,10.6002,8.85511,8.46425,7.86834,8.00512,10.4709,8.00345,10.3107,9.70785,11.2171,9.80166,7.6,8.95693,8.95325,10.1933,9.6591,9.98406,8.41105,8.79257,9.28903,8.82675,9.18413,8.15247,9.32113,7.99843,11.6125,12.6405,12.2124,12.0105,12.9482,13.0925,12.7167,12.3287,12.4015,10.5198,12.3551,12.9181,12.269,12.6625,10.8154,10.7847,12.53,12.6431,11.6913,12.0544,11.8143,12.522,9.07855,12.7112,12.4622,12.5866,10.9799,8.51031,12.4216,12.7196,13.145,11.8993,12.1765,12.4263,11.8087,11.9733,12.7645,12.226,12.4904,12.7081,12.3462,9.82296,12.6511,12.4756,12.3118,12.9216,12.6345,12.21,11.8837,12.3073,12.7555,11.3749,10.5528,12.5043,12.1076,12.6171,12.611,12.353,11.1705,12.811
EXPH5,6.90103,8.97066,8.26066,5.06053,8.53314,9.67808,9.12752,10.7328,5.89334,8.23024,9.24284,9.18109,10.2168,8.40071,9.17656,6.34949,9.19224,10.4297,9.01759,9.47297,10.6192,5.03557,9.51372,8.65715,8.33421,8.82194,7.45076,9.50795,9.77811,9.44028,5.93947,9.21528,8.71244,9.24423,9.29874,9.47297,9.34314,9.29378,5.65657,9.1194,5.12005,7.75431,7.92268,5.40065,9.39151,9.30073,9.38434,6.06422,8.01757,9.81866,9.27862,10.2463,5.6432,7.40124,8.76762,8.50947,10.1766,7.74152,9.21988,8.11061,7.42984,8.48435,9.55353,6.33244,8.73508,10.0403,9.33251,8.89413,5.72468,7.17723,8.5731,9.26453,9.27146,10.2003,9.87297,6.55662,9.45531,9.67628,8.52964,8.69552,10.1837,5.96619,8.31992,8.96224,9.48587,8.85049,8.53987,4.69066,9.25591,9.83853,9.29259,6.55198,8.51371,9.63595,8.58849,9.56082,9.07105,8.78688,8.62301,6.44029,6.21366,9.76909,9.6591,6.069,9.58011,10.0504,8.59729,6.36923,8.65283,8.82404,9.27985,8.17355,6.38303,8.16901,9.60711,9.1565,9.43382,8.93734,8.65359,7.97496
EXT1,6.43712,6.48798,6.98042,7.17582,5.99841,6.12244,6.09489,6.36329,6.24956,5.28663,6.53188,6.03469,4.71406,7.53806,7.6598,6.92412,6.78911,6.40382,7.29578,7.4275,6.41409,6.40111,5.12096,7.9366,5.71613,6.70045,6.29377,6.12222,6.13022,7.07338,7.17389,7.49761,6.93106,6.16865,5.41035,6.73746,5.85775,5.32801,6.69783,6.20966,6.56033,7.11355,5.66736,6.713,6.95195,6.12284,6.38603,6.40909,6.74774,6.93582,8.12573,6.45713,6.96143,6.65326,7.09697,5.68099,6.58628,7.0381,5.56625,5.46187,7.80595,7.68553,7.50857,7.46948,7.49359,7.22185,7.44338,6.80633,7.14903,6.41071,7.02812,7.558,6.0306,7.83322,6.65979,7.26887,7.35761,8.00834,7.36421,7.79478,7.28768,7.03075,8.0879,7.18971,7.09635,6.94699,7.20282,5.82846,6.79765,7.79174,7.66594,7.28141,7.30411,7.36238,6.53776,7.16396,7.37366,6.57342,6.73758,7.32782,7.83322,6.74174,7.05976,7.93004,7.47357,7.65052,6.97332,7.29149,6.84312,6.75268,7.00645,6.80046,6.92791,6.99025,7.26378,5.96488,7.80906,7.43389,6.82517,7.61543
EYA2,6.74707,6.19945,7.05638,8.83792,9.43217,7.16355,7.78089,6.30305,6.66755,8.65434,7.18984,6.49957,5.62668,6.8401,9.61381,6.32381,6.03267,8.81004,8.65301,6.89669,4.82687,7.6598,5.85279,5.496,8.79182,6.47898,8.14186,6.67789,6.22,6.11728,7.70912,6.03147,6.00829,6.76623,6.26347,5.77687,5.97357,6.95669,6.89681,8.01167,6.96807,5.58187,6.86149,5.61296,6.81048,6.15642,9.19224,6.9096,6.73029,5.93132,6.16972,5.97934,8.88416,5.07185,7.12673,8.53844,4.96519,7.54164,5.39883,5.602,5.75624,5.54495,5.76844,5.83268,5.15524,6.31088,6.7561,6.74806,5.73167,6.42126,6.40005,6.14901,6.18402,5.83248,6.0048,5.54941,5.80803,6.056,6.19978,6.37299,5.58207,5.92457,5.46081,6.17612,5.83007,6.38673,5.50646,5.24597,6.31281,5.95095,6.20958,6.10798,5.76197,5.94857,5.71114,6.01954,5.8606,6.41199,6.4144,6.30814,6.64396,5.48037,6.18104,6.16752,6.35229,6.26257,6.89603,6.13063,5.26499,6.30178,5.97888,5.98247,6.71997,6.87811,5.72671,6.03334,6.06517,6.17826,5.53918,6.95363
EZH1,8.46162,9.249,8.59463,8.5555,8.22897,9.27201,8.50308,8.76582,8.59521,7.96557,8.15916,8.6478,7.58585,9.4088,8.67331,8.64276,8.97831,7.95746,8.20775,8.28123,8.85682,9.0624,7.72867,8.90343,7.52238,8.51388,7.65514,8.19116,8.53,8.77822,7.99602,8.50778,8.79009,8.15934,7.63082,8.78186,8.26384,7.63031,8.37776,7.35946,8.83749,8.53671,8.55165,8.71912,9.4518,8.10328,7.92218,8.82501,9.17405,8.89856,8.56275,8.38133,7.94605,8.47804,8.82033,8.45938,8.59286,8.5056,8.93487,8.27764,9.35502,9.81339,8.89832,8.57772,9.2455,8.99521,9.09367,8.75262,9.4421,7.79605,8.55999,9.12407,8.14503,9.15102,8.56187,8.72414,8.8084,9.34335,8.43512,9.08616,8.81758,9.43459,8.20894,9.11526,8.68933,8.69792,7.63067,9.10119,8.41858,9.21479,9.44156,8.46162,8.7528,9.19722,8.79814,9.11143,8.89952,8.35308,8.97452,9.003,9.31339,9.68347,8.90553,9.25214,9.24968,9.67988,9.12252,8.99656,8.65434,8.82194,9.05351,8.36371,9.08188,9.19316,9.46599,8.95057,9.16131,9.5541,9.50318,9.30796
EZH2,8.33718,7.19993,6.53156,7.60517,9.03802,6.35758,5.99027,6.52431,8.27888,7.64187,7.09434,7.17244,5.02741,6.83985,5.41006,6.72503,6.78648,7.98178,7.46608,7.59621,5.14223,8.19954,9.4314,7.09171,7.57944,6.22029,7.95127,6.06337,7.2349,6.6968,9.07658,9.15167,6.38867,7.21674,8.88694,5.72468,7.12631,6.4227,7.92907,6.78062,6.73988,8.73617,6.56765,6.7319,5.12096,6.18229,8.44171,6.58453,7.38662,6.24403,6.28559,5.0475,6.427,8.58994,6.49637,5.92835,8.18762,7.21099,8.97563,6.32629,7.08313,6.38983,5.34986,7.04461,5.53338,6.16199,5.45939,5.4458,5.92299,6.43796,5.33473,5.58876,5.22449,5.46872,6.80383,7.22325,5.31744,5.46081,6.46204,5.5012,5.80884,6.14064,6.50491,5.33361,5.66578,5.62924,5.93101,7.75992,4.9421,5.31552,5.87986,7.09239,5.33808,5.74419,6.77452,6.2554,5.16796,6.31521,5.43779,6.3535,6.23581,7.15306,5.24173,6.17575,5.21128,5.68741,5.32271,6.14721,6.50239,5.88728,5.48529,6.41877,6.09092,5.06327,5.32964,5.18769,5.5239,5.21481,6.41706,5.47313
EZR,9.06313,8.83493,9.76425,10.0969,9.75514,9.13519,10.1131,10.6454,10.2642,10.1883,10.5586,10.7804,11.9713,9.62906,10.7877,10.2997,8.47091,11.4915,10.7708,10.7764,7.62442,9.83491,10.6625,11.4053,11.374,10.7297,10.3005,9.78742,10.1045,10.2212,9.92434,8.98222,9.76192,9.48396,10.1811,9.96887,10.5084,10.2456,10.605,10.9829,8.76068,9.06219,10.4244,10.3076,10.4102,11.4635,10.0328,9.34241,9.01881,9.79903,10.6851,10.4,10.474,10.0157,10.4759,10.6584,9.90379,8.90259,8.56711,11.1289,9.70849,11.1139,10.5387,10.7951,10.5381,10.0582,10.2997,11.7791,10.5289,10.1432,11.3271,10.2125,11.5283,11.2553,10.3324,10.1303,11.4462,10.4965,10.569,9.9674,10.9608,10.5453,9.88774,10.8186,10.894,10.5732,11.2912,9.44233,11.1172,10.2494,9.46746,10.9041,10.4518,10.3103,9.73508,10.1262,10.8218,11.2122,10.7428,10.9149,9.7897,8.98461,11.1902,10.477,10.0474,9.48313,10.9028,9.85604,11.1835,9.98545,10.0597,11.1867,10.304,11.0564,10.6736,10.2979,10.883,10.3151,9.72881,10.4249
F11,6.13071,8.18575,6.17005,5.96249,5.35058,5.78697,5.79794,8.60507,5.60123,6.11579,7.12127,6.17199,6.10716,5.65529,5.40943,7.97392,7.0572,5.70411,5.86225,5.80204,6.85598,5.97194,5.53203,6.65208,6.76444,5.67715,5.92151,6.97183,7.3813,7.95584,5.96619,5.68701,6.36978,6.71274,5.88796,9.54881,5.79353,5.91128,5.73867,6.49734,6.80083,6.02774,6.17451,6.58562,7.48688,6.38713,5.98548,6.24771,6.96471,5.525,6.15064,6.93393,6.25505,5.86623,5.42864,5.3231,5.87659,5.40399,5.95527,8.41929,6.52491,7.31912,6.48054,6.23186,6.27059,6.16917,5.8915,6.66908,6.41431,6.61429,6.47782,6.50481,6.61236,6.07917,7.01686,6.41679,5.96778,5.83259,6.46822,5.7557,6.51627,6.69262,5.62029,6.51952,6.29315,6.50529,6.49289,5.84055,6.46656,5.88579,6.27555,6.40222,6.31181,6.70194,6.50707,6.44788,6.43482,6.20225,6.52085,6.23853,6.47644,5.4219,6.31639,6.4244,6.38603,6.38782,6.16719,6.37927,5.90156,6.11318,6.32986,6.08215,6.93036,6.32711,6.15694,5.54451,6.12606,6.81883,5.24027,6.69974
F11R,8.37228,9.94337,8.82272,8.81338,10.0946,10.1916,10.2485,9.06156,8.58462,10.3659,10.4163,9.7907,10.141,8.36371,9.53776,8.73469,10.2238,9.44429,9.42475,9.92057,9.4126,8.40378,9.96568,9.77682,10.8186,9.56489,10.6181,9.79748,9.36089,9.72138,9.61697,9.14871,9.12997,9.94013,9.123,9.85177,9.75947,9.81834,9.36968,9.61323,8.33407,8.51248,9.09766,7.96359,9.48288,10.0527,9.82882,8.45386,9.13677,9.79193,9.69413,10.3281,10.3018,8.6369,9.374,9.72986,9.47035,9.01488,9.88545,10.1147,7.78795,10.0116,9.59122,8.62807,9.51552,9.63595,9.36064,10.1975,8.42089,8.99071,9.56767,8.97476,10.1695,9.67277,10.3067,7.9768,9.88842,9.38929,9.29208,9.52136,9.84234,8.16557,9.63938,9.54973,10.2011,9.74402,9.69295,8.07559,9.74431,9.14809,9.56737,8.26328,9.4628,9.61588,9.07309,9.68873,9.5289,9.73568,9.30096,8.44207,8.78469,9.7424,10.2275,7.86292,10.2859,9.90548,9.83982,7.87868,9.45842,9.62935,9.47603,9.37269,8.60959,9.97287,9.57794,9.49224,9.62609,9.47469,9.17727,9.42521
