Source_A,Source_B
PRKCA,RHOA
TGM2,RHOA
FLNA,RHOA
KTN1,RHOA
DGKQ,RHOA
ROCK1,RHOA
TRIO,RHOA
ARHGDIA,RHOA
PPP1R12A,RHOA
RTKN,RHOA
PLD1,RHOA
CTSB,SLPI
PKN2,RHOA
ARHGAP1,RHOA
ARHGDIB,RHOA
AKAP13,RHOA
VAV3,RHOA
ARHGEF12,RHOA
CTSS,SLPI
ARHGEF11,RHOA
ICMT,RHOA
SRGAP1,RHOA
DAAM1,RHOA
RHPN2,RHOA
ARHGEF2,RHOA
DEF6,RHOA
RAP1GDS1,RHOA
TRPC1,RHOA
CNKSR1,RHOA
ARHGEF3,RHOA
MCF2L,RHOA
SMAD5,PSMD11
SPRED2,RHOA
SMAD5,U2AF2
SMAD5,SOX5
OAZ2,ODC1
ACP5,SPP1
PRKCA,SPP1
MMP7,SPP1
ITGAV,SPP1
GRN,SLPI
ITGA9,SPP1
PRKG1,SPP1
SMAD5,HBG2
TTN,NBR1
FEZ1,NBR1
SMAD5,RBM4
PRSS2,SLPI
PAX5,PAX5
MYB,PAX5
ID3,PAX5
KPNA2,PAX5
KPNA1,PAX5
TLE4,PAX5
ATN1,SIAH1
GTF2I,PRRX1
MAFF,PRRX1
PLSCR1,SLPI
SMAD5,BCAT1
SMAD5,PPIL4
SMAD5,SNRNP70
SMAD5,WWP1
PCNA,CCND1
RB1,CCND1
AR,CCND1
IFI27,CCND1
MYBL2,CCND1
NCOA3,CCND1
NCOA1,CCND1
EP300,CCND1
CDK6,CCND1
GSK3B,CCND1
CCNDBP1,CCND1
KAT2B,CCND1
THRB,CCND1
CUL3,CCND1
HERC5,CCND1
NPDC1,CCND1
TAP2,TAP1
PDIA3,TAP1
TAPBP,TAP1
TAPBP,TAP2
PRKCA,PAM
KALRN,PAM
RASSF9,PAM
UHMK1,PAM
PEX10,PEX2
ABCD3,ABCD3
COL6A2,ABCD3
CA2,SLC9A1
PEX19,ABCD3
MAPK1,PPARA
RXRA,PPARA
NCOR1,PPARA
DAP3,PPARA
NRIP1,PPARA
NCOA1,PPARA
EP300,PPARA
MED1,PPARA
PPARGC1A,PPARA
AKAP13,PPARA
GADD45B,PPARA
GADD45G,PPARA
NR1H3,PPARA
YWHAB,SLC9A1
NRBF2,PPARA
MAP4K4,SLC9A1
GPC4,ACP5
PIK3R1,PIK3R1
PDGFRB,PIK3R1
PECAM1,PIK3R1
PTPN11,PIK3R1
CD7,PIK3R1
CD4,PIK3R1
GTF2H1,PIK3R1
TESC,SLC9A1
ERBB3,PIK3R1
TGFBR1,PIK3R1
TUBG1,PIK3R1
SH3KBP1,PIK3R1
WAS,PIK3R1
CSF2RA,PIK3R1
SYN1,PIK3R1
RRAS2,PIK3R1
UBTF,CD3EAP
MST1R,PIK3R1
TEK,PIK3R1
TIE1,PIK3R1
SHB,PIK3R1
SHC1,PIK3R1
PTK2,PIK3R1
IRS2,PIK3R1
INPP4A,PIK3R1
GHR,PIK3R1
MAPK8,PIK3R1
RAC1,PIK3R1
IL1RAP,PIK3R1
ARHGAP1,PIK3R1
CD3E,CD3EAP
PIK3CD,PIK3R1
SOCS1,PIK3R1
CD2AP,PIK3R1
GAB1,PIK3R1
TOM1L1,PIK3R1
VAV3,PIK3R1
GAB2,PIK3R1
PIK3AP1,PIK3R1
CD3E,PIK3R1
PPM1A,PIK3R1
WBP11,PIK3R1
PDGFRB,PIK3CA
PRKCD,PIK3CA
SH3KBP1,PIK3CA
GNAQ,PIK3CA
PIK3R3,PIK3CA
MRAS,PIK3CA
PRKCA,PFKFB2
PRKAA2,PFKFB2
YWHAZ,PFKFB2
PRKAA1,PFKFB2
PIK3R1,IFNAR1
S100B,PGM1
PTPN11,IFNAR1
SLN,PLN
PLA2G2A,PLA2G1B
BGN,PLA2G1B
PLAA,PLA2G1B
MAPK1,IFNAR1
STAT2,IFNAR1
ZBTB44,SMAD1
CANX,IFNGR1
SVEP1,SMAD9
JAK1,IFNGR1
PRPF40A,SMAD4
PLAT,SERPINE1
CASP1,TFAP2A
PLAU,SERPINE1
LRP2,SERPINE1
MAPK1,PLAT
SPARC,PLAT
PLAU,PLAT
YBX1,TFAP2A
LAMA3,PLAT
SERPINA5,PLAT
PLAT,SERPINI1
SERPING1,PLAT
PRPF40A,SNRNP70
CKAP4,PLAT
RB1,TFAP2A
PLAU,PLAUR
FAP,PLAUR
MMP12,PLAUR
RGS4,PTAFR
PDGFRB,PDGFRB
TP53,TFAP2A
PDGFRA,PDGFRB
EIF2AK2,PDGFRB
PTPN11,PDGFRB
PTPN1,PDGFRB
PDGFB,PDGFRB
NCK1,PDGFRB
SHC1,PDGFRB
PTK2,PDGFRB
SNX1,PDGFRB
BAG1,PDGFRB
GRB10,PDGFRB
COPA,PDGFRB
S1PR1,PDGFRB
SLC9A3R1,PDGFRB
PDAP1,PDGFRB
CASP6,TFAP2A
PTPN2,PDGFRB
SNX2,PDGFRB
SNX4,PDGFRB
PDGFD,PDGFRB
PDGFA,PDGFA
PDGFRA,PDGFA
SPARC,PDGFA
DUSP3,PDGFA
PDAP1,PDGFA
PECAM1,PECAM1
WWP1,TFAP2A
PTPN11,PECAM1
PRKCE,PECAM1
INPP5D,PECAM1
SRGN,PF4
THBD,PF4
WWP2,TFAP2A
LDLR,PF4
PIR,SMAD9
MAGI1,TFAP2A
LRP5,SMAD9
EP300,TFAP2A
PDGFRA,PDGFRA
PTPN11,PDGFRA
PDGFB,PDGFRA
ITGAV,PDGFRA
CITED2,TFAP2A
SHB,PDGFRA
CAV1,PDGFRA
SLC9A3R1,PDGFRA
SNX2,PDGFRA
SNX4,PDGFRA
PDGFC,PDGFRA
THBS1,CD36
SF3B1,SMAD1
CD24,SELP
SELPLG,SELP
SERPING1,SELP
DYNLT3,PVR
AP1M2,PVR
SF3B1,SMAD9
CPXM2,SMAD9
EXPH5,SMAD9
CCL5,PIGR
CD2AP,PKD2
TNNI3,PKD2
TRPC1,PKD2
CSNK1E,APC
KIFAP3,APC
SIAH1,APC
MAPRE1,APC
AXIN2,APC
RBP4,TTR
LRP2,TTR
PAPPA,PAPPA
PRG2,PAPPA
TNNI3,PAPPA
ATN1,SIAH2
SECISBP2,SMAD9
SYN1,PFN2
ROCK1,PFN2
VASP,PFN2
DNM1,PFN2
FHOD1,PFN2
EVL,PFN2
ARNT,SMAD9
ATF7IP,SMAD4
ATF7IP,RRBP1
ATF7IP,KRT7
CLU,PRNP
CAV1,PRNP
DNM1,PRNP
STIP1,PRNP
SPARCL1,PRNP
P4HB,PRNP
LSAMP,PRNP
ERI3,PRNP
ATF7IP,COL4A2
PCNA,PCNA
RPA1,PCNA
FEN1,PCNA
RFC2,PCNA
SUB1,PCNA
CDKN1C,PCNA
MSH3,PCNA
PRKDC,PCNA
HDAC1,PCNA
ING1,PCNA
EP300,PCNA
DHX9,PCNA
CDK6,PCNA
HUS1,PCNA
GADD45B,PCNA
GADD45G,PCNA
CCNO,PCNA
MSH6,PCNA
MCL1,PCNA
ZNF587,SMAD9
XRCC5,PCNA
KCTD13,PCNA
CHTF18,PCNA
DSCC1,PCNA
POLD2,PCNA
ARHGAP9,SMAD9
PLK1,PSMA3
XRN2,PSMA3
PLK1,PSMA5
GRN,SMAD9
TMEM57,SMAD9
EIF2AK2,EIF2AK2
EIF2AK2,TP53
STAT1,EIF2AK2
DNAJC3,EIF2AK2
CASP8,EIF2AK2
METAP2,EIF2AK2
RAC1,EIF2AK2
MAP3K5,EIF2AK2
IKBKB,EIF2AK2
STRBP,EIF2AK2
SMAD9,SNRNP70
MAP2K1,MAP2K1
MAPK1,MAP2K1
MYC,MAP2K1
GRB10,MAP2K1
RPS6KA2,MAP2K1
TRAF3,MAP2K1
PAK1,MAP2K1
TRIB1,MAP2K1
PEBP4,MAP2K1
MAPK8IP3,MAP2K1
MAP2K1,PARVA
SMAD9,HEY1
EPHA2,PTPN11
PRKCA,PTPN11
PRKCB,PTPN11
APOE,APOE
PTPN11,TEK
TIE1,PTPN11
PTPN11,STAT1
SHC1,PTPN11
PTPN11,IL6ST
PTK2,PTPN11
IRS2,PTPN11
GHR,PTPN11
LRP1,APOE
CAV1,PTPN11
CDH5,PTPN11
PTPN11,SPRY2
PXN,PTPN11
PTPN11,HNRNPU
LAIR1,PTPN11
CTSB,APOE
SLAMF1,PTPN11
PTPN11,STAT5B
PTPN11,MPZL1
SIGLEC7,PTPN11
PTPN11,GAB1
SIT1,PTPN11
PTPN11,MVP
PILRA,PTPN11
MAP2,APOE
PRKCH,PTPN11
PAG1,PTPN11
PTPN11,GAB2
SLAMF6,PTPN11
PTPN11,FRS2
INPP5D,PTPN11
NEDD9,PTPN11
LILRB4,PTPN11
PSAP,SMAD9
F5,PROS1
F8,PROS1
TNC,PTPRB
TEK,PTPRB
CDH5,PTPRB
PLTP,APOE
NRCAM,PTPRB
MAGI3,PTPRB
F11R,PTPRB
PRNP,APOE
VLDLR,APOE
SIL1,SMAD9
LRP2,APOE
SCARB1,APOE
DKK1,SMAD9
SMAD4,PSMD11
LRP8,APOE
PTPRA,PTPRA
PTPRM,PTPRA
PRKCD,PTPRA
PTPRF,PTPRA
PTPRS,PTPRA
PTPRD,PTPRA
PTPRA,CALM1
SMAD4,DCP1B
LDLR,APOE
PTPN1,MAPK1
RRAS2,PTPN1
GLRX,PTPN1
NTRK2,PTPN1
CAV1,PTPN1
ATN1,TEP1
PTPN1,STAT5B
GSK3B,PTPN1
CLK1,PTPN1
PTPN1,NFKBIA
SMAD4,XPO5
ATN1,TRIP6
CDH1,PTPRM
PPFIBP1,PTPRM
MAPK1,PTPN7
MAPK14,PTPN7
PKIA,PRKACB
PKIB,PRKACB
PRKAR2A,PRKAR2A
SCTR,PRKAR2A
PRKX,PRKAR2A
AKAP1,PRKAR2A
CBFA2T3,PRKAR2A
AKAP9,PRKAR2A
AKAP13,PRKAR2A
AKAP10,PRKAR2A
AKAP11,PRKAR2A
AKAP12,PRKAR2A
NBEA,PRKAR2A
RAB32,PRKAR2A
ARFGEF2,PRKAR2A
AKAP7,PRKAR2A
PRKAR2B,PRKAR2B
AKAP1,PRKAR2B
AKAP9,PRKAR2B
AKAP10,PRKAR2B
AKAP11,PRKAR2B
NBEA,PRKAR2B
SMAD4,HDLBP
SMAD4,CD59
SMAD4,RALA
SMAD4,GPNMB
SMAD4,MAPK13
SMAD4,TM9SF2
SMAD4,EEF1A1
SMAD4,CNKSR1
FER,FER
TMF1,FER
YWHAB,FER
FER,CALM1
FGF9,FGFR2
TNFAIP1,EPHA2
EFNA1,EPHA2
SHC1,EPHA2
TIAM1,EPHA2
PTK2,EPHA2
SLA,EPHA2
EFNA4,EPHA2
EFNA5,EPHA2
ACP1,EPHA2
ZAP70,ZAP70
SOS1,ZAP70
CD247,ZAP70
ABL1,ZAP70
TUBA4A,ZAP70
ZAP70,DUSP3
SHB,ZAP70
SHC1,ZAP70
SLA,ZAP70
ZAP70,LCP2
ZAP70,LAT
TYROBP,ZAP70
CBLB,ZAP70
SIT1,ZAP70
ZAP70,SH2B3
PAG1,ZAP70
ZAP70,GAB2
SLAMF6,ZAP70
SLA2,ZAP70
PTPN3,ZAP70
FCRL3,ZAP70
ACP1,ZAP70
CD3E,ZAP70
NFAM1,ZAP70
MAPK1,MAPK1
PRKCE,MAPK1
MAPK1,RB1
MAPK1,RXRA
MAPK1,SREBF1
MAPK1,CEBPB
MAPK1,MYB
MAPK1,ZFP36
MAPK1,TP53
RPS6KA3,MAPK1
ELK1,MAPK1
DUSP3,MAPK1
MAPK14,MAPK1
SHC1,MAPK1
NKX2-1,MAPK1
MAPK1,UBTF
MAPK1,DUSP1
MAPK1,SCNN1G
MAPK1,SMAD4
MAP2K2,MAPK1
C1QBP,MAPK1
MAPK1,PPARG
RPS6KA2,MAPK1
GMFB,MAPK1
METAP2,MAPK1
MAPK1,NCOA3
MAPK1,EIF4EBP1
MAPK1,KHDRBS1
PXN,MAPK1
MAPK1,NCOA1
DUSP4,MAPK1
DUSP7,MAPK1
MAPK1,IER3
MAPK1,DUSP5
KLF11,MAPK1
MAPK1,PPP1R9B
MAPK1,TNFRSF25
MAPK1,IQGAP1
PEA15,MAPK1
STAT5B,MAPK1
MKNK2,MAPK1
HDAC4,MAPK1
MAPK1,GAB2
UBR5,MAPK1
MAPK1,GORASP2
TPR,MAPK1
TNIP1,MAPK1
MAPK1,TOB1
MKNK1,MAPK1
MAPK1,DUSP16
MAPK1,ERF
MAPK1,CALCOCO1
MAPK1,NDE1
MAPK1,SORBS3
PRKCA,PRKCA
PRKCZ,PRKCA
PRKCA,RRAD
PRKCA,DDX5
SCTR,PRKCA
SMAD4,SNRNP70
PRKCA,TP53
STAG1,SMAD9
PRKCA,VCL
PRKCA,NCF1
PRKCA,GJB1
XK,PRKCA
PRKCA,ITGB2
PRKCA,PTPN12
SYK,PRKCA
PRKCA,NFATC1
TIAM1,PRKCA
CALR,LRP1
RGS2,PRKCA
MYLK,PRKCA
PRKCA,CASR
C1QBP,PRKCA
PRKCA,GPM6A
YWHAZ,PRKCA
PRKCA,ADD3
BTG2,PRKCA
TEP1,PRKCA
CANX,LRP1
PRKCA,GMFB
ARHGEF1,PRKCA
RAC1,PRKCA
PRKCA,PA2G4
PRKCA,NRGN
PRKCA,DNM1
PRKCA,PLD1
C3,LRP1
PRKCA,CFTR
CISH,PRKCA
PRKCA,CYTH2
PRKCA,SNAP23
FSCN1,PRKCA
PRKCA,OCLN
PRKCA,STXBP1
C4BPA,LRP1
PRKCA,SPAG1
PRKCA,PEA15
CEP135,SMAD9
AKAP12,PRKCA
PRKCA,CD163
CTGF,LRP1
PRKCA,PLCB1
PRKCA,HSPB8
PRKCA,MARCKS
PRKCA,PRKG1
SDPR,PRKCA
KCNE4,PRKCA
TRIM29,PRKCA
PDLIM7,PRKCA
STXBP3,PRKCA
LTF,LRP1
PRKCA,TNNI3
PRKCA,PPP1R14A
PRKCA,HMGB1
PRKCA,SDC4
PRKCB,RRAD
SPTAN1,PRKCB
PRKCB,NCF1
PRKCB,BTK
PRKCB,ITGB2
MDK,LRP1
GCNT1,PRKCB
BMPR2,PRKCB
RGS2,PRKCB
PRKCB,CASR
PRKCB,PA2G4
PRKCB,NRGN
CISH,PRKCB
PRKCB,CYTH2
SERPINE1,LRP1
PRKCB,OCLN
MAPK6,PRKCB
PRKCB,STXBP1
GNA13,PRKCB
GSK3B,PRKCB
PDLIM5,PRKCB
PLAT,LRP1
PRKCB,MARCKS
MKI67,PRKCB
ZMYND8,PRKCB
RIPK4,PRKCB
PDLIM7,PRKCB
PRKCB,GABRB2
PLAUR,LRP1
ARID1B,SMAD9
MAN1C1,SMAD9
PRKCE,PRKCE
TIAM1,PRKCE
CNN1,PRKCE
HK2,PRKCE
CFTR,PRKCE
AKAP9,PRKCE
GNA13,PRKCE
VDAC1,PRKCE
PRKD1,PRKCE
PDLIM5,PRKCE
THBS1,LRP1
PRKCE,PPP1R14A
PRKCD,PRKCD
PRKCZ,PRKCD
PDGFB,LRP1
PRKCD,CYTH1
PRKCD,NCF1
PRKCD,ITGB2
PRKCD,NFE2L2
PRKCD,STAT1
SHC1,PRKCD
TIAM1,PRKCD
PRKCD,IL6ST
PRKCD,TAGLN
PRKDC,PRKCD
C1QBP,PRKCD
PRKCD,NCF4
PPP2R5C,PRKCD
HSP90B1,LRP1
CHPF,SMAD9
PRKCD,FSCN1
PRKCD,EP300
ADAM9,PRKCD
PRKCD,KLF5
PRKCD,EIF2S1
GNA13,PRKCD
LPL,LRP1
PRKCD,PLCB1
PRKCD,AKT3
PRKCD,PLSCR1
PPP2CA,PRKCD
RIPK4,PRKCD
F8,LRP1
RASGRP3,PRKCD
PDP1,PRKCD
PPM1A,PRKCD
SHC1,LRP1
ABTB1,SMAD9
MMP14,LRP1
PRKCZ,NCF1
IRAK1,PRKCZ
NFATC2,PRKCZ
CDKN2A,HSP90AB1
PRKCZ,YWHAB
SQSTM1,PRKCZ
SMAD1,PSMD11
PRKCZ,IKBKB
FRS2,PRKCZ
PRKCZ,AKT3
MMP15,LRP1
PAWR,PRKCZ
FEZ1,PRKCZ
FEZ2,PRKCZ
PRG2,PRKCZ
PRKCZ,WWC1
PARD6G,PRKCZ
PDLIM7,PRKCZ
SMAD1,SOX5
PRKCZ,PPP1R14A
PARD6B,PRKCZ
SMAD1,TTF1
TP53,S100B
AGER,S100B
IQGAP1,S100B
NDRG1,S100B
CACYBP,S100B
TNIP1,S100B
STK38,S100B
SMAD1,EWSR1
AHNAK,S100B
SMAD1,STARD13
SMAD1,INPP4A
SMAD1,AKR1B1
TPM1,S100A2
TPM3,S100A2
TPM2,S100A2
FECH,FECH
SMAD1,PUM1
APBA2,LRP1
SMAD1,ZDHHC3
SMAD1,SMARCE1
COL4A5,SERPINE2
MAF,MAF
MYB,MAF
EP300,MAF
SOX9,MAF
SMAD1,PSMD1
MFAP4,SFTPD
DMBT1,SFTPD
SMAD1,SNRNP70
KDM6A,SMAD9
SFTPA2,SFTPA2
MMP7,SERPINA1
PPP2R5E,SMAD9
RANBP9,SMAD9
PDHX,PDHB
ITGB1BP1,LRP1
PDHA1,PDHB
CTR9,SMAD9
ROCK1,RDX
ARHGDIA,RDX
CPNE2,RDX
GNA13,RDX
SLC9A3R1,RDX
SLC9A3R2,RDX
GULP1,LRP1
TRIM29,SMAD9
YWHAZ,RRAD
TPM2,RRAD
RRAD,CALM1
ANAPC10,LRP1
EIF3F,SMAD9
GOLGA5,RAB1A
GORASP2,RAB1A
USO1,RAB1A
MICALL1,RAB1A
BAZ1A,SMAD9
ATN1,ALG13
GDI2,RAB2A
BLZF1,RAB2A
NR2F6,NR2F2
MAN1A2,SMAD9
GDI2,RAB5A
RABEP1,RAB5A
EEA1,RAB5A
RAB37,RAB5A
USP6NL,RAB5A
ALS2CL,RAB5A
RIN2,RAB5A
HDAC1,NR2F2
SQSTM1,NR2F2
UBA6,SMAD9
RAP1A,RAP1A
RALGDS,RAP1A
TRIM24,NR2F2
KRIT1,RAP1A
RAPGEF6,RAP1A
RAP1GDS1,RAP1A
BCL11A,NR2F2
RAPGEF5,RAP1A
RASIP1,RAP1A
APBB1IP,RAP1A
RMND5A,SMAD9
RASSF5,RAP1B
RAP2A,RAP2A
RALGDS,RAP2A
BCL11B,NR2F2
RASSF5,RAP2A
RAPGEF6,RAP2A
RAPGEF5,RAP2A
RASIP1,RAP2A
TNIK,RAP2A
RALGDS,RAP2B
PIAS1,NR2F2
RAPGEF5,RAP2B
FLNA,RALA
PLD1,RALA
RASSF5,RALA
EXOC5,RALA
RALBP1,RALA
EXOC3,RALA
EPHB2,AQP1
RAB8B,RALA
RALGPS1,RALA
EXOC2,RALA
EXOC4,RALA
EXOC7,RALA
RALA,CALM1
REPS2,RALB
RALBP1,RALB
RALB,CALM1
PTPRF,PTPRF
CDH1,PTPRF
PTPRF,IRS2
CAV1,PTPRF
TRIO,PTPRF
FRS2,PTPRF
PPFIA1,PTPRF
EPHA3,EPHA3
EFNB2,EPHA3
EFNA5,EPHA3
RUFY2,EPHA3
RAD51,RAD51
RPA1,RAD51
ABL1,RAD51
TP53,RAD51
FANCD2,RAD51
SUMO1,RAD51
RAD51AP1,RAD51
RAD54L,RAD51
BLM,RAD51
ATM,RAD51
UBE2I,RAD51
BCCIP,RAD51
ATN1,LTBP4
CSNK1A1,RCC1
NUP98,RCC1
RAN,RCC1
HIST2H2BE,RCC1
KPNA3,RCC1
XPO1,RCC1
DNAJC7,SMAD9
RPA3,RPA1
TP53,RPA1
PRKDC,RPA1
BLM,RPA1
TBCD,SMAD9
PAFAH1B1,CLIP1
IQGAP1,CLIP1
CLASP2,CLIP1
RXRA,RARG
RB1,RB1
TMPO,RB1
CEBPB,RB1
PNPLA2,SMAD9
ELF1,RB1
ABL1,RB1
MYC,RB1
TGM2,RB1
POLA1,RB1
AR,RB1
AHR,RB1
E2F2,RB1
E2F3,RB1
UBTF,RB1
RBBP5,RB1
PRDM2,RB1
HDAC1,RB1
BAG1,RB1
SMARCB1,RB1
PA2G4,RB1
SNAPC3,RB1
CTBP1,RB1
MNAT1,RB1
MDM4,RB1
RBBP4,RB1
CBX4,RB1
SMARCA4,RB1
PRKRA,RB1
USP4,RB1
CCNT2,RB1
RBBP8,RB1
TRIP11,RB1
ENC1,RB1
PIK3R3,RB1
TRAP1,RB1
FRK,RB1
TRAF1,TNFRSF17
SPIB,RB1
EID1,RB1
KDM5A,RB1
MORF4L1,RB1
CREG1,RB1
MTMR11,SMAD9
HDAC1,ARID4A
EID1,ARID4A
TRAF3,TNFRSF17
UBTF,RBL2
E2F5,RBL2
HDAC1,RBL2
RBBP8,RBL2
TNFSF13B,TNFRSF17
CREG1,RBL2
NR1H2,RXRA
TNFSF13,TNFRSF17
PPARG,RXRA
VDR,RXRA
NR4A2,RXRA
NCOA3,RXRA
NRIP1,RXRA
NCOA1,RXRA
TRIM24,RXRA
MED1,RXRA
ZNHIT3,RXRA
JMJD1C,RXRA
TRIP10,RXRA
ATN1,CBFA2T2
COPS2,RXRA
PPARGC1A,RXRA
NR0B2,RXRA
GADD45G,RXRA
UBE3A,SMAD9
THRB,RXRA
ADRB1,ARRB1
PRMT2,RXRA
NCOA2,RXRA
NPAS2,RXRA
ITGB3BP,RXRA
NRBF2,RXRA
ZBTB16,RXRA
TAF11,RXRA
NR1H2,RXRB
NR4A2,RXRB
NCOA3,RXRB
NCOA1,RXRB
NR0B2,RXRB
AKAP13,RXRB
RARB,RXRB
TAF11,RXRB
DIAPH3,SMAD9
ZNF83,SMAD9
CXCR2,ARRB1
TAL2,LMO2
TAL1,LMO2
FGR,ARRB1
RLIM,LMO2
RBBP8,LMO2
KDM5A,LMO2
ELF2,LMO2
RRM1,RRM2
TP53,RRM2
CDH1,RRM2
RRM2B,RRM1
ABCE1,RNASEL
AP2A1,SMAD9
